DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
PROVIDENCIA;PROL. SAN ISIDRO;LOMAS DE SN. LORENZO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.054106;19.311503;19.311503,-99.054106;9m;WIFI GRATUITO_ACTIVO
DEODATO;LOMBARDOS;MIGUEL HIDALGO;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.04205;19.290557;19.290557,-99.04205;9m;SIN WIFI
IGNACIO ALTAMIRANO;LAS BODAS DE FIGARO;SANTA ANA PONIENTE;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.045278;19.297741;19.297741,-99.045278;9m;WIFI GRATUITO_ACTIVO
JESUS GONZALEZ;FELIPE ANGELES;OJO DE AGUA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.010669;19.290372;19.290372,-99.010669;9m;SIN WIFI
C. CARLOS A VIDAL;C. INDEPENDENCIA;SN FCO TLALTENCO;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.016742;19.295722;19.295722,-99.016742;9m;WIFI GRATUITO_ACTIVO
C. SN FRANCISCO;ANDADOR PLAZA CENTENARIO;PBO SN FCO TLALTENCO;TLAHUAC;CON BOTON;SIN ALTAVOZ;-99.016219;19.297882;19.297882,-99.016219;9m;WIFI GRATUITO_ACTIVO
AVENIDA INDEPENDENCIA;ENTRE C. LAS BOMBAS Y C. CAMINO REAL;PUEBLO SANTIAGO ZAPOTITLAN;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.025957;19.301034;19.301034,-99.025957;9m;WIFI GRATUITO_ACTIVO
AVENIDA ESTANISLAO RAMIREZ RUIZ;C. MAR DE LAS CRISIS;SELENE 1RA. SECC.;TLAHUAC;CON BOTON;SIN ALTAVOZ;-98.99921;19.288827;19.288827,-98.99921;9m;WIFI GRATUITO_ACTIVO
C. ZOAPATLI;"CONDOMINIO ""B""";AGRICOLA METROPOLITANA;TLAHUAC;SIN BOTON;SIN ALTAVOZ;-99.053824;19.29285;19.29285,-99.053824;9m;WIFI GRATUITO_ACTIVO
C. DON GIOVANI;C. BARTOLOME DE ESCOBEDO;AGRICOLA METROPOLITANA;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.051596;19.291052;19.291052,-99.051596;9m;WIFI GRATUITO_ACTIVO
C. CIRCO PTOLOMEO;C. MAR DE LAS LLUVIAS;AMPLIACION SELENE;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.989854;19.288492;19.288492,-98.989854;9m;WIFI GRATUITO_ACTIVO
CRATER PLATON;LAGUNA DEL ENSUEÑO;AMPLIACION SELENE;TLAHUAC;SIN BOTON;CON ALTAVOZ;-98.995536;19.286278;19.286278,-98.995536;9m;WIFI GRATUITO_ACTIVO
C. BLAS CORRAL;C. NARCISO MENDOZA;BARRIO LA ASUNCION;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.006119;19.273526;19.273526,-99.006119;9m;WIFI GRATUITO_ACTIVO
C. CANAL DEL NORTE;C. FERNANDO MONTES DE OCA;BARRIO LOS REYES MIXQUIC;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.966805;19.227017;19.227017,-98.966805;9m;WIFI GRATUITO_ACTIVO
ANTES AV. AGRARIA C. DR. JUAN PALOMO M.;C. LOS REYES;LOS REYES;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.003445;19.266206;19.266206,-99.003445;9m;SIN WIFI
20 DE NOVIEMBRE;JOSE MA. MORELOS;BARRIO SAN MATEO;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.999914;19.27255;19.27255,-98.999914;9m;SIN WIFI
C. 20 DE NOVIEMBRE;C. JAVIER MINA;BARRIO SAN MATEO;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.000352;19.271005;19.271005,-99.000352;9m;SIN WIFI
C. JUAN DE DIOS PEZA;ENTRE C. SAN RAFAEL ATLIXCO Y C. ORGANO;BARRIO SANTA ANA ZAPOTITLAN;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.040587;19.303246;19.303246,-99.040587;9m;WIFI GRATUITO_ACTIVO
JUAN DE DIOS PEZA;ENTRE C. SAN RAFAEL ATLIXCO Y CJON. DEL ORGANO (DENTRO DE LA UNIDAD);BARRIO SANTA ANA PONIENTE;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.039369;19.303074;19.303074,-99.039369;9m;WIFI GRATUITO_ACTIVO
C. JUAN DE DIOS PEZA;ENTRE C. ORGANO Y C. SAN RAFAEL ATLIXCO;BARRIO SANTA ANA PONIENTE;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.041082;19.301592;19.301592,-99.041082;9m;WIFI GRATUITO_ACTIVO
JUAN DE DIOS PEZA;ENTRE SAN RAFAEL ATLIXCO Y CJON DEL ORGANO (DENTRO DE LA UNIDAD);BARRIO SANTA ANA NORTE;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.040225;19.301683;19.301683,-99.040225;9m;WIFI GRATUITO_ACTIVO
AVENIDA LA TURBA;ENTRE C. PIRAÑA Y C. GITANA;DEL MAR;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.060448;19.292061;19.292061,-99.060448;9m;WIFI GRATUITO_ACTIVO
C. MARLIN;C. PEZ VELA;DEL MAR SUR;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.060552;19.288265;19.288265,-99.060552;9m;WIFI GRATUITO_ACTIVO
C. MARLIN;C. PESCADO;DEL MAR SUR;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.058687;19.290571;19.290571,-99.058687;9m;WIFI GRATUITO_ACTIVO
AVENIDA SIRENA;C. GITANA;DEL MAR SUR;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.062636;19.288653;19.288653,-99.062636;9m;WIFI GRATUITO_ACTIVO
C. JAIBA;C. TIBURON;DEL MAR SUR;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.058182;19.288917;19.288917,-99.058182;9m;WIFI GRATUITO_ACTIVO
AV LA TURBA;FLOR DE NUBE;EL ROSARIO;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.063842;19.304477;19.304477,-99.063842;9m;WIFI GRATUITO_ACTIVO
AV. SUR DEL COMERCIO;ENTRE C. EDUCACION TECNOLOGICA Y C. PEDRO HERNANDEZ SILVA;JARDINES DEL LLANO;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.994491;19.231276;19.231276,-98.994491;9m;SIN WIFI
MARGARITAS;CAMINO REAL;JARDINES DEL LLANO;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.991722;19.232424;19.232424,-98.991722;9m;WIFI GRATUITO_ACTIVO
AV. SAN RAFAEL ATLIXCO;ENTRE C. SAN RAFAEL ATLIXCO Y C. CAMINO A LAS MINAS;PUEBLO SAN FRANCISCO TLALTENGO;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.022511;19.302147;19.302147,-99.022511;9m;SIN WIFI
C. DOMINGO ALVARADO;AVENIDA GUILLERMO PRIETO;CONCHITA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.04107;19.292338;19.292338,-99.04107;9m;WIFI GRATUITO_ACTIVO
CARLOS BEJARAN;EMILIO LAURENT;LA CONCHITA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.034521;19.290333;19.290333,-99.034521;9m;WIFI GRATUITO_ACTIVO
C. ELIAS SALOMON;C. LA HEBREA;MIGUEL HIDALGO;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.044619;19.288342;19.288342,-99.044619;9m;WIFI GRATUITO_ACTIVO
AVENIDA ESTACION PINO SUAREZ;C. ESTACION XOLA;LA ESTACION;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.042169;19.311054;19.311054,-99.042169;9m;WIFI GRATUITO_ACTIVO
PROL AV HIDALGO;C. SAN JOSE;LA HABANA;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.993624;19.267101;19.267101,-98.993624;9m;SIN WIFI
C. RAFAEL CASTILLO;C. SEVERIANO CENICEROS;LA HABANA;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.999077;19.266848;19.266848,-98.999077;9m;WIFI GRATUITO_ACTIVO
C. ALTA TENSION;ENTRE C. SANTA CRUZ Y C. GITANA;SANTA ANA PONIENTE;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.04669;19.309453;19.309453,-99.04669;9m;WIFI GRATUITO_ACTIVO
AMADO NERVO;ENTRE C. ROSAL Y C. ALTA TENSION;BARRIO SANTA ANA PONIENTE;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.045833;19.306589;19.306589,-99.045833;9m;WIFI GRATUITO_ACTIVO
GITANA;ENTRE PROL. SALVADOR DIAZ MIRON Y C. H. GITANA 51-A;BARRIO SANTA ANA PONIENTE;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.050753;19.303433;19.303433,-99.050753;9m;WIFI GRATUITO_ACTIVO
C. MANUEL M FLORES;ENTRE AV. TLAHUAC Y C. SAN RAFAEL ATLIXCO;SANTIAGO ZAPOTITLAN;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.041862;19.30236;19.30236,-99.041862;9m;WIFI GRATUITO_ACTIVO
AVENIDA MUZIO CLEMENTI;CABALLERIA RUSTICANA;NOPALERA;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.052141;19.297197;19.297197,-99.052141;9m;WIFI GRATUITO_ACTIVO
PORVENIR;ENTRE C. ALTA TENSION Y CJON. BUENA SUERTE;LAS ARBOLEDAS;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.051621;19.308449;19.308449,-99.051621;9m;SIN WIFI
C. SANTA CRUZ;C. ALTA TENSION;LOS OLIVOS;TLAHUAC;CON BOTON;SIN ALTAVOZ;-99.047789;19.310247;19.310247,-99.047789;9m;WIFI GRATUITO_ACTIVO
AV LA TURBA;ENTRE CISNE Y GITANA;DEL MAR SUR;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.060525;19.293218;19.293218,-99.060525;9m;WIFI GRATUITO_ACTIVO
AV. TLAHUAC;ENTRE C. CANAL ACALOTE Y CALZADA ACUEDUCTO;LAS PUERTAS TLALTENCO;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.154942;19.400003;19.400003,-99.154942;9m;SIN WIFI
C. COCODRILO;C. ESCALARIO;LOS OLIVOS;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.059177;19.302084;19.302084,-99.059177;9m;WIFI GRATUITO_ACTIVO
C. ESCALARIO;C. VENADOS;LOS OLIVOS;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.057805;19.301045;19.301045,-99.057805;9m;SIN WIFI
PORVENIR;ENTRE 2DA. PRIV. DEL PORVENIR Y C. ALTA TENSION;LAS ARBOLEDAS;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.053048;19.306659;19.306659,-99.053048;9m;WIFI GRATUITO_ACTIVO
C. SANTA CRUZ;1ER. AND. SANTA CRUZ;LAS ARBOLEDAS;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.051877;19.305267;19.305267,-99.051877;9m;WIFI GRATUITO_ACTIVO
C. ALVARO OBREGON;C. ESTEBAN CHAVERO;OJO DE AGUA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.013182;19.28973;19.28973,-99.013182;9m;WIFI GRATUITO_ACTIVO
C. PABLO GONZALEZ;C. ESTEBAN CHAVERO;OJO DE AGUA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.011945;19.28945;19.28945,-99.011945;9m;WIFI GRATUITO_ACTIVO
C. CRATER ATLAS;C. OCEANO DE LAS TEMPESTADES;SELENE;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.000685;19.287923;19.287923,-99.000685;9m;WIFI GRATUITO_ACTIVO
MONTES APENINOS;MAR DEL NECTAR;SELENE;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.006748;19.282428;19.282428,-99.006748;9m;WIFI GRATUITO_ACTIVO
MONTES APENINOS;LAGUNA DEL ENSUEÑO;SELENE 2DA. SECC.;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.005901;19.287706;19.287706,-99.005901;9m;WIFI GRATUITO_ACTIVO
VALLE ALPINO;MAR DE LAS CRISIS;SELENE;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.002951;19.289197;19.289197,-99.002951;9m;WIFI GRATUITO_ACTIVO
AVENIDA GUILLERMO PRIETO;C. TOMAS MORLEY;MIGUEL HIDALGO;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.041422;19.29344;19.29344,-99.041422;9m;WIFI GRATUITO_ACTIVO
C. LA TRAVIATA;C. LUCAS MARENZIO;MIGUEL HIDALGO OTE;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.043583;19.294054;19.294054,-99.043583;9m;WIFI GRATUITO_ACTIVO
C. LANGOSTA;ENTRE AV. ALETA Y AVENIDA CANAL DE CHALCO;DEL MAR SUR;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.058341;19.282021;19.282021,-99.058341;9m;WIFI GRATUITO_ACTIVO
C. FEDERICO GARCIA LORCA;C. SOR JUANA INES DE LA CRUZ;U.H. DE LOS TRABAJADORES;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.052031;19.280261;19.280261,-99.052031;9m;WIFI GRATUITO_ACTIVO
SOR JUANA INES DE LA CRUZ;FEDERICO GARCIA LORCA;U.H. DE LOS TRABAJADORES;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.052725;19.279484;19.279484,-99.052725;9m;WIFI GRATUITO_ACTIVO
GABRIELA MISTRAL;AV. CANAL DE CHALCO;VILLA CENTRO AMERICANA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.057665;19.279708;19.279708,-99.057665;9m;WIFI GRATUITO_ACTIVO
JUAN DE DIOS PEZA;ENTRE C. PIE DE LA CUESTA Y C. HEBERTO CASTILLO;U.H. VILLA CENTROAMERICANA Y DEL CARMEN;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.051347;19.284427;19.284427,-99.051347;9m;WIFI GRATUITO_ACTIVO
PIE DE LA CUESTA;ENTRE AVENIDA LANGOSTA Y C. GABRIELA MISTRAL;U. H. VILLA CENTROAMERICANA Y DEL CARIBE;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.054574;19.285312;19.285312,-99.054574;9m;WIFI GRATUITO_ACTIVO
C. AUGUSTO AGUIRRE;C. MANUEL M. LOPEZ;ZAPOTITLA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.040388;19.306978;19.306978,-99.040388;9m;WIFI GRATUITO_ACTIVO
C. PIÑA;C. CAMINO A LAS MINAS;AMPL. LOPEZ PORTILLO;TLAHUAC;N/A;N/A;-99.019018;19.304027;19.304027,-99.019018;20mIR;SIN WIFI
EJE 10 SUR CARRETERA A SANTA CATARINA;LAS MARRANERAS;SELENE 1RA. SECC.;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.989654;19.294665;19.294665,-98.989654;9mIR;WIFI GRATUITO_ACTIVO
C. ISIDRO TAPIA;CALZADA TLAHUAC TULYEHUALCO;SAN SEBASTIAN;XOCHIMILCO;CON BOTON;CON ALTAVOZ;-99.010981;19.256328;19.256328,-99.010981;9mIR;WIFI GRATUITO_ACTIVO
RIO AMECAMECA;PUENTE DEL TUBO;JARDINES DEL LLANO;TLAHUAC;CON BOTON;CON ALTAVOZ;-98.984872;19.231411;19.231411,-98.984872;9mIR;WIFI GRATUITO_ACTIVO
LA ESCONDIDA 2;3 PALOS;AMPLIACION MIGUEL HIDALGO;TLALPAN;CON BOTON;CON ALTAVOZ;-99.20341;19.286942;19.286942,-99.20341;9mIR;WIFI GRATUITO_ACTIVO
AV CUAUHTEMOC;ENTRE AV. DEL PANTEON Y PRIV. DE CUAUHTEMOC;EMILIANO ZAPATA 1RA SEC I;TLAHUAC;N/A;N/A;-98.97479;19.208274;19.208274,-98.97479;20mIR;SIN WIFI
LUIS DONALDO COLOSIO;ENTRE C. ISAIAS SILVA Y PARQUE NACIONAL CERRO DE LA ESTRELLA;PREDIO MARAVILLAS 3RA. SECCION VALLE DE LUCES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.095651;19.334296;19.334296,-99.095651;9mIR;WIFI GRATUITO_ACTIVO
LAS ROSAS;DE LA PRIMAVERA;LA LOMA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.001209;19.255678;19.255678,-99.001209;9mIR;WIFI GRATUITO_ACTIVO
